,0
0,0
1,0
2,0
3,0
4,11
5,20
6,16
7,14
8,0
9,0
10,0
11,0
12,13
13,11
14,19
15,8
16,0
17,0
18,0
19,0
20,8
21,14
22,13
23,13
24,0
25,0
26,0
27,0
28,10
29,12
30,15
31,13
32,0
33,0
34,0
35,0
36,4
37,14
38,11
39,8
40,0
41,0
42,0
43,0
44,15
45,15
46,23
47,18
48,0
49,0
50,0
51,0
52,14
53,14
54,18
55,9
56,0
57,0
58,0
59,0
60,12
61,12
62,13
63,14
64,0
65,0
66,0
67,0
68,8
69,12
70,16
71,11
72,0
73,0
74,0
75,0
76,16
77,19
78,6
79,20
80,0
81,0
82,0
83,0
84,5
85,9
86,11
87,16
88,0
89,0
90,0
91,0
92,10
93,11
94,10
95,14
96,0
97,0
98,0
99,0
100,15
101,13
102,15
103,18
104,0
105,0
106,0
107,0
108,20
109,14
110,14
111,13
112,0
113,0
114,0
115,0
116,15
117,13
118,14
119,13
120,0
121,0
122,0
123,0
124,15
125,19
126,11
127,15
128,0
129,0
130,0
131,0
132,11
133,16
134,11
135,19
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,20
145,9
146,13
147,14
148,0
149,0
150,0
151,0
152,16
153,13
154,15
155,12
156,0
157,0
158,0
159,0
160,15
161,21
162,13
163,20
164,0
165,0
166,0
167,0
168,15
169,13
170,13
171,8
172,0
173,0
174,0
175,0
176,11
177,14
178,11
179,8
180,0
181,0
182,0
183,0
184,15
185,6
186,18
187,17
188,0
189,0
190,0
191,0
192,7
193,14
194,14
195,12
196,0
197,0
198,0
199,0
200,14
201,14
202,13
203,14
204,0
205,0
206,0
207,0
208,14
209,12
210,10
211,11
212,0
213,0
214,0
215,0
216,14
217,12
218,15
219,14
220,0
221,0
222,0
223,0
224,10
225,19
226,14
227,12
228,0
229,0
230,0
231,0
232,8
233,14
234,14
235,11
236,0
237,0
238,0
239,0
240,16
241,7
242,14
243,17
244,0
245,0
246,0
247,0
248,13
249,18
250,13
251,13
252,0
253,0
254,0
255,0
256,14
257,14
258,17
259,10
260,0
261,0
262,0
263,0
264,18
265,9
266,11
267,6
268,0
269,0
270,0
271,0
272,16
273,13
274,13
275,0
276,0
277,0
278,0
279,0
